2025-01-24 13:02:36 : ----- 程序启动 
2025-01-24 13:02:36 : ----- DEBUG 日志文件存在
2025-01-24 13:02:36 : ----- DEBUG 日志文件存在
2025-01-24 13:02:37 : ----- INFO: 控件初始化成功
2025-01-24 13:02:37 : ----- INFO: 数据库初始化成功
2025-01-24 13:02:37 : ----- INFO: 组数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 主机数据初始化成功
2025-01-24 13:02:37 : ----- INFO: 程序初始化成功
2025-01-24 13:02:38 : ----- INFO: 事件触发：连接主机
2025-01-24 13:04:11 : ----- DEBUG 日志文件存在
2025-01-24 13:04:11 : ----- 程序启动 
2025-01-24 13:04:12 : ----- DEBUG 日志文件存在
2025-01-24 13:04:12 : ----- DEBUG 日志文件存在
2025-01-24 13:04:12 : ----- INFO: 控件初始化成功
2025-01-24 13:04:12 : ----- INFO: 数据库初始化成功
2025-01-24 13:04:12 : ----- INFO: 组数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:04:12 : ----- INFO: 程序初始化成功
2025-01-24 13:04:14 : ----- INFO: 事件触发：连接主机
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- 程序启动 
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- DEBUG 日志文件存在
2025-01-24 13:06:35 : ----- INFO: 控件初始化成功
2025-01-24 13:06:35 : ----- INFO: 数据库初始化成功
2025-01-24 13:06:35 : ----- INFO: 组数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 主机数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 主机数据初始化成功
2025-01-24 13:06:35 : ----- INFO: 程序初始化成功
2025-01-24 13:06:42 : ----- INFO: 事件触发：连接主机
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- 程序启动 
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- DEBUG 日志文件存在
2025-01-24 13:07:34 : ----- INFO: 控件初始化成功
2025-01-24 13:07:34 : ----- INFO: 数据库初始化成功
2025-01-24 13:07:34 : ----- INFO: 组数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:34 : ----- INFO: 程序初始化成功
2025-01-24 13:07:37 : ----- INFO: 事件触发：连接主机
2025-01-24 13:07:53 : ----- DEBUG 日志文件存在
2025-01-24 13:07:53 : ----- 程序启动 
2025-01-24 13:07:54 : ----- DEBUG 日志文件存在
2025-01-24 13:07:54 : ----- DEBUG 日志文件存在
2025-01-24 13:07:54 : ----- INFO: 控件初始化成功
2025-01-24 13:07:54 : ----- INFO: 数据库初始化成功
2025-01-24 13:07:54 : ----- INFO: 组数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 主机数据初始化成功
2025-01-24 13:07:54 : ----- INFO: 程序初始化成功
2025-01-24 13:07:56 : ----- INFO: 事件触发：连接主机
2025-01-24 13:08:48 : ----- DEBUG 日志文件存在
2025-01-24 13:08:48 : ----- 程序启动 
2025-01-24 13:08:49 : ----- DEBUG 日志文件存在
2025-01-24 13:08:49 : ----- DEBUG 日志文件存在
2025-01-24 13:08:49 : ----- INFO: 控件初始化成功
2025-01-24 13:08:49 : ----- INFO: 数据库初始化成功
2025-01-24 13:08:49 : ----- INFO: 组数据初始化成功
2025-01-24 13:08:49 : ----- INFO: 主机数据初始化成功
2025-01-24 13:08:49 : ----- INFO: 主机数据初始化成功
2025-01-24 13:08:49 : ----- INFO: 程序初始化成功
2025-01-24 13:08:51 : ----- INFO: 事件触发：连接主机
2025-01-24 13:11:11 : ----- DEBUG 日志文件存在
2025-01-24 13:11:11 : ----- 程序启动 
2025-01-24 13:11:11 : ----- DEBUG 日志文件存在
2025-01-24 13:11:11 : ----- DEBUG 日志文件存在
2025-01-24 13:11:11 : ----- INFO: 控件初始化成功
2025-01-24 13:11:11 : ----- INFO: 数据库初始化成功
2025-01-24 13:11:11 : ----- INFO: 组数据初始化成功
2025-01-24 13:11:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:11:12 : ----- INFO: 主机数据初始化成功
2025-01-24 13:11:12 : ----- INFO: 程序初始化成功
2025-01-24 13:11:13 : ----- INFO: 事件触发：连接主机
2025-01-24 13:13:30 : ----- DEBUG 日志文件存在
2025-01-24 13:13:30 : ----- 程序启动 
2025-01-24 13:13:30 : ----- DEBUG 日志文件存在
2025-01-24 13:13:30 : ----- DEBUG 日志文件存在
2025-01-24 13:13:31 : ----- INFO: 控件初始化成功
2025-01-24 13:13:31 : ----- INFO: 数据库初始化成功
2025-01-24 13:13:31 : ----- INFO: 组数据初始化成功
2025-01-24 13:13:31 : ----- INFO: 主机数据初始化成功
2025-01-24 13:13:31 : ----- INFO: 主机数据初始化成功
2025-01-24 13:13:31 : ----- INFO: 程序初始化成功
2025-01-24 13:13:33 : ----- INFO: 事件触发：连接主机
2025-01-24 13:16:06 : ----- DEBUG 日志文件存在
2025-01-24 13:16:06 : ----- 程序启动 
2025-01-24 13:16:06 : ----- DEBUG 日志文件存在
2025-01-24 13:16:06 : ----- DEBUG 日志文件存在
2025-01-24 13:16:06 : ----- INFO: 控件初始化成功
2025-01-24 13:16:06 : ----- INFO: 数据库初始化成功
2025-01-24 13:16:06 : ----- INFO: 组数据初始化成功
2025-01-24 13:16:06 : ----- INFO: 主机数据初始化成功
2025-01-24 13:16:06 : ----- INFO: 主机数据初始化成功
2025-01-24 13:16:06 : ----- INFO: 程序初始化成功
2025-01-24 13:16:09 : ----- INFO: 事件触发：连接主机
2025-01-24 13:19:13 : ----- DEBUG 日志文件存在
2025-01-24 13:19:13 : ----- 程序启动 
2025-01-24 13:19:13 : ----- DEBUG 日志文件存在
2025-01-24 13:19:13 : ----- DEBUG 日志文件存在
2025-01-24 13:19:13 : ----- INFO: 控件初始化成功
2025-01-24 13:19:13 : ----- INFO: 数据库初始化成功
2025-01-24 13:19:13 : ----- INFO: 组数据初始化成功
2025-01-24 13:19:13 : ----- INFO: 主机数据初始化成功
2025-01-24 13:19:13 : ----- INFO: 主机数据初始化成功
2025-01-24 13:19:13 : ----- INFO: 程序初始化成功
2025-01-24 13:19:15 : ----- INFO: 事件触发：连接主机
2025-01-24 13:19:54 : ----- INFO: 事件触发：连接主机
2025-01-24 13:22:28 : ----- DEBUG 日志文件存在
2025-01-24 13:22:28 : ----- 程序启动 
2025-01-24 13:22:29 : ----- DEBUG 日志文件存在
2025-01-24 13:22:29 : ----- DEBUG 日志文件存在
2025-01-24 13:22:29 : ----- INFO: 控件初始化成功
2025-01-24 13:22:29 : ----- INFO: 数据库初始化成功
2025-01-24 13:22:29 : ----- INFO: 组数据初始化成功
2025-01-24 13:22:29 : ----- INFO: 主机数据初始化成功
2025-01-24 13:22:29 : ----- INFO: 主机数据初始化成功
2025-01-24 13:22:29 : ----- INFO: 程序初始化成功
2025-01-24 13:22:31 : ----- INFO: 事件触发：连接主机
2025-01-24 13:28:06 : ----- DEBUG 日志文件存在
2025-01-24 13:28:06 : ----- 程序启动 
2025-01-24 13:28:06 : ----- DEBUG 日志文件存在
2025-01-24 13:28:06 : ----- DEBUG 日志文件存在
2025-01-24 13:28:06 : ----- INFO: 控件初始化成功
2025-01-24 13:28:06 : ----- INFO: 数据库初始化成功
2025-01-24 13:28:06 : ----- INFO: 组数据初始化成功
2025-01-24 13:28:06 : ----- INFO: 主机数据初始化成功
2025-01-24 13:28:06 : ----- INFO: 主机数据初始化成功
2025-01-24 13:28:06 : ----- INFO: 程序初始化成功
2025-01-24 13:28:08 : ----- INFO: 事件触发：连接主机
2025-01-24 13:30:38 : ----- DEBUG 日志文件存在
2025-01-24 13:30:38 : ----- 程序启动 
2025-01-24 13:30:39 : ----- DEBUG 日志文件存在
2025-01-24 13:30:39 : ----- DEBUG 日志文件存在
2025-01-24 13:30:39 : ----- INFO: 控件初始化成功
2025-01-24 13:30:39 : ----- INFO: 数据库初始化成功
2025-01-24 13:30:39 : ----- INFO: 组数据初始化成功
2025-01-24 13:30:39 : ----- INFO: 主机数据初始化成功
2025-01-24 13:30:39 : ----- INFO: 主机数据初始化成功
2025-01-24 13:30:39 : ----- INFO: 程序初始化成功
2025-01-24 13:30:41 : ----- INFO: 事件触发：连接主机
2025-01-24 13:31:42 : ----- INFO: 事件触发：连接主机
2025-01-24 13:35:18 : ----- DEBUG 日志文件存在
2025-01-24 13:35:18 : ----- 程序启动 
2025-01-24 13:35:18 : ----- DEBUG 日志文件存在
2025-01-24 13:35:18 : ----- DEBUG 日志文件存在
2025-01-24 13:35:18 : ----- INFO: 控件初始化成功
2025-01-24 13:35:18 : ----- INFO: 数据库初始化成功
2025-01-24 13:35:18 : ----- INFO: 组数据初始化成功
2025-01-24 13:35:18 : ----- INFO: 主机数据初始化成功
2025-01-24 13:35:18 : ----- INFO: 主机数据初始化成功
2025-01-24 13:35:18 : ----- INFO: 程序初始化成功
2025-01-24 13:35:20 : ----- INFO: 事件触发：连接主机
2025-01-24 13:35:47 : ----- INFO: 事件触发：连接主机
2025-01-24 13:37:27 : ----- DEBUG 日志文件存在
2025-01-24 13:37:27 : ----- 程序启动 
2025-01-24 13:37:27 : ----- DEBUG 日志文件存在
2025-01-24 13:37:27 : ----- DEBUG 日志文件存在
2025-01-24 13:37:27 : ----- INFO: 控件初始化成功
2025-01-24 13:37:27 : ----- INFO: 数据库初始化成功
2025-01-24 13:37:27 : ----- INFO: 组数据初始化成功
2025-01-24 13:37:27 : ----- INFO: 主机数据初始化成功
2025-01-24 13:37:27 : ----- INFO: 主机数据初始化成功
2025-01-24 13:37:27 : ----- INFO: 程序初始化成功
2025-01-24 13:37:30 : ----- INFO: 事件触发：连接主机
2025-01-24 13:37:47 : ----- DEBUG 日志文件存在
2025-01-24 13:37:47 : ----- 程序启动 
2025-01-24 13:37:48 : ----- DEBUG 日志文件存在
2025-01-24 13:37:48 : ----- DEBUG 日志文件存在
2025-01-24 13:37:48 : ----- INFO: 控件初始化成功
2025-01-24 13:37:48 : ----- INFO: 数据库初始化成功
2025-01-24 13:37:48 : ----- INFO: 组数据初始化成功
2025-01-24 13:37:48 : ----- INFO: 主机数据初始化成功
2025-01-24 13:37:48 : ----- INFO: 主机数据初始化成功
2025-01-24 13:37:48 : ----- INFO: 程序初始化成功
2025-01-24 13:37:50 : ----- INFO: 事件触发：连接主机
2025-01-24 13:37:58 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:37:58 : ----- INFO: 主机名：192.1.1.136,主机ip : 192.1.1.136端口号：3389用户名：administrator密码：jw_PIS1234
2025-01-24 13:38:18 : ----- INFO: 事件触发：添加主机window
2025-01-24 13:38:25 : ----- ERROR: 主机名不能为空，添加失败
2025-01-24 13:38:31 : ----- INFO: 主机数据初始化成功
2025-01-24 13:38:31 : ----- INFO: 主机数据初始化成功
2025-01-24 13:38:33 : ----- INFO: 服务器：主机名:222，ip地址：22222,端口:，用户名：,密码：,说明： 
添加成功
2025-01-24 13:38:47 : ----- INFO: 主机数据初始化成功
2025-01-24 13:38:47 : ----- INFO: 主机数据初始化成功
2025-01-24 13:38:48 : ----- INFO: 服务器：主机名:3333，ip地址：333,端口:，用户名：,密码：,说明： 
添加成功
2025-01-24 13:39:02 : ----- INFO: 事件触发：添加主机window
2025-01-24 13:39:07 : ----- INFO: 主机数据初始化成功
2025-01-24 13:39:07 : ----- INFO: 主机数据初始化成功
2025-01-24 13:39:08 : ----- INFO: 服务器：主机名:444，ip地址：4444,端口:，用户名：,密码：,说明： 
添加成功
2025-01-24 13:39:16 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:17 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:20 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:20 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:21 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:22 : ----- INFO: 事件触发：添加主机window
2025-01-24 13:39:23 : ----- INFO: 事件触发：新建分组
2025-01-24 13:39:27 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:29 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:33 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:34 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:39:34 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:40:04 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:40:07 : ----- INFO: 事件触发：编辑主机信息
2025-01-24 13:40:07 : ----- INFO: 主机名：192.1.1.136,主机ip : 192.1.1.136端口号：3389用户名：administrator密码：jw_PIS1234
2025-01-24 13:40:20 : ----- INFO: 事件触发：删除主机
2025-01-24 13:40:25 : ----- INFO: 事件触发：删除主机
2025-01-24 13:40:28 : ----- INFO: 事件触发：删除主机
2025-01-24 13:40:29 : ----- INFO: 事件触发：删除主机
2025-01-24 13:40:29 : ----- INFO: 事件触发：删除主机
2025-01-24 13:40:29 : ----- INFO: 事件触发：删除主机
